epoch,step,test_acc,test_loss,val_acc,val_loss
0,8,,,0.3888888955116272,1.0470601320266724
1,17,,,0.5277777910232544,1.0012974739074707
2,26,,,0.6944444179534912,0.9490392208099365
3,35,,,0.7777777910232544,0.8863871097564697
4,44,,,0.8888888955116272,0.8070511817932129
5,53,,,0.9722222089767456,0.7142104506492615
6,62,,,1.0,0.6098726987838745
7,71,,,1.0,0.5002650618553162
8,80,,,1.0,0.39734068512916565
9,89,,,1.0,0.3071553111076355
10,98,,,1.0,0.23488780856132507
11,107,,,1.0,0.17946621775627136
12,116,,,1.0,0.13923193514347076
13,125,,,1.0,0.11040985584259033
14,134,,,1.0,0.09039419144392014
15,143,,,1.0,0.07521664351224899
16,152,,,1.0,0.0645395815372467
17,161,,,1.0,0.05526929348707199
18,170,,,1.0,0.04827405512332916
19,179,,,1.0,0.04262835159897804
20,188,,,1.0,0.03776869177818298
21,197,,,1.0,0.03431950509548187
22,206,,,1.0,0.031170696020126343
23,215,,,1.0,0.028491131961345673
24,224,,,1.0,0.026164157316088676
25,233,,,1.0,0.024301446974277496
26,242,,,1.0,0.022148754447698593
27,251,,,1.0,0.020513029769062996
28,260,,,1.0,0.019057774916291237
29,269,,,1.0,0.017993982881307602
30,278,,,1.0,0.01680835708975792
31,287,,,1.0,0.015663782134652138
32,296,,,1.0,0.014808068983256817
33,305,,,1.0,0.01381563302129507
34,314,,,1.0,0.013184916228055954
35,323,,,1.0,0.012425868771970272
36,332,,,1.0,0.011813652701675892
37,341,,,1.0,0.01123138703405857
38,350,,,1.0,0.010738831013441086
39,359,,,1.0,0.010185208171606064
40,368,,,1.0,0.009658945724368095
41,377,,,1.0,0.009238187223672867
42,386,,,1.0,0.008715419098734856
43,395,,,1.0,0.00843081809580326
44,404,,,1.0,0.008066367357969284
45,413,,,1.0,0.007790979463607073
46,422,,,1.0,0.007496143225580454
47,431,,,1.0,0.007280454039573669
48,440,,,1.0,0.006953408941626549
49,449,,,1.0,0.006652620155364275
50,458,,,1.0,0.0064453138038516045
51,467,,,1.0,0.0062302458100020885
52,476,,,1.0,0.0059565273113548756
53,485,,,1.0,0.005755894351750612
54,494,,,1.0,0.005608331877738237
55,503,,,1.0,0.0053953430615365505
56,512,,,1.0,0.005225148051977158
57,521,,,1.0,0.005085763055831194
58,530,,,1.0,0.004857443738728762
59,539,,,1.0,0.004767362494021654
60,548,,,1.0,0.004553856793791056
61,557,,,1.0,0.004445733968168497
62,566,,,1.0,0.0043206587433815
63,575,,,1.0,0.0041929688304662704
64,584,,,1.0,0.00412182230502367
65,593,,,1.0,0.004022334236651659
66,602,,,1.0,0.003897473681718111
67,611,,,1.0,0.00381007743999362
68,620,,,1.0,0.0037064584903419018
69,629,,,1.0,0.003615798195824027
70,638,,,1.0,0.003500903258100152
71,647,,,1.0,0.0033897694665938616
72,656,,,1.0,0.003325458848848939
73,665,,,1.0,0.003258541226387024
74,674,,,1.0,0.003196466015651822
75,683,,,1.0,0.0031400497537106276
76,692,,,1.0,0.0030766634736210108
77,701,,,1.0,0.0029942283872514963
78,710,,,1.0,0.0029358218889683485
79,719,,,1.0,0.002866277238354087
80,728,,,1.0,0.00280008208937943
81,737,,,1.0,0.002746640471741557
82,746,,,1.0,0.002667372114956379
83,755,,,1.0,0.002596859820187092
84,764,,,1.0,0.002565309638157487
85,773,,,1.0,0.0024757585488259792
86,782,,,1.0,0.00242810370400548
87,791,,,1.0,0.002383245388045907
88,800,,,1.0,0.0023418099153786898
89,809,,,1.0,0.0022973420564085245
90,818,,,1.0,0.0022530313581228256
91,827,,,1.0,0.0022042293567210436
92,836,,,1.0,0.002160091884434223
93,845,,,1.0,0.002112545073032379
94,854,,,1.0,0.0020744772627949715
95,863,,,1.0,0.0020472074393182993
96,872,,,1.0,0.0020154318772256374
97,881,,,1.0,0.0019703039433807135
98,890,,,1.0,0.0019396982388570905
99,899,,,1.0,0.0019079113844782114
100,900,1.0,0.0019079113844782114,,
