epoch,step,test_acc,val_loss
0,8,,1.0768773555755615
1,17,,1.0215389728546143
2,26,,0.9619929790496826
3,35,,0.894312858581543
4,44,,0.8148829936981201
5,53,,0.7240281105041504
6,62,,0.6252325177192688
7,71,,0.5247069001197815
8,80,,0.4277929663658142
9,89,,0.3412332534790039
10,98,,0.26959025859832764
11,107,,0.21288159489631653
12,116,,0.16841250658035278
13,125,,0.13560211658477783
14,134,,0.1113509088754654
15,143,,0.09337137639522552
16,152,,0.07967397570610046
17,161,,0.06956895440816879
18,170,,0.060661688446998596
19,179,,0.053684335201978683
20,188,,0.04728951305150986
21,197,,0.042773399502038956
22,206,,0.03944477438926697
23,215,,0.036492969840765
24,224,,0.033380165696144104
25,233,,0.03094993345439434
26,242,,0.02851639874279499
27,251,,0.026896432042121887
28,260,,0.025223499163985252
29,269,,0.023417536169290543
30,278,,0.02176140621304512
31,287,,0.02050144411623478
32,296,,0.019561760127544403
33,305,,0.018481409177184105
34,314,,0.01756211370229721
35,323,,0.016132289543747902
36,332,,0.015147868543863297
37,341,,0.014866320416331291
38,350,,0.014142747037112713
39,359,,0.013437538407742977
40,368,,0.012969564646482468
41,377,,0.012337465770542622
42,386,,0.011887537315487862
43,395,,0.011639944277703762
44,404,,0.010977121070027351
45,413,,0.01063823513686657
46,422,,0.010201779194176197
47,431,,0.009829770773649216
48,440,,0.009470801800489426
49,449,,0.009412693791091442
50,458,,0.009134110063314438
51,467,,0.008871953003108501
52,476,,0.008668472990393639
53,485,,0.008151150308549404
54,494,,0.007853967137634754
55,503,,0.007807338610291481
56,512,,0.00761776976287365
57,521,,0.0072989147156476974
58,530,,0.007134652696549892
59,539,,0.0069355834275484085
60,548,,0.006876369006931782
61,557,,0.006704806815832853
62,566,,0.0065047964453697205
63,575,,0.006397335324436426
64,584,,0.006094512529671192
65,593,,0.006142130121588707
66,602,,0.005850170273333788
67,611,,0.0057779825292527676
68,620,,0.005678102839738131
69,629,,0.005498420912772417
70,638,,0.005391616839915514
71,647,,0.005356875713914633
72,656,,0.005280028097331524
73,665,,0.005137110128998756
74,674,,0.004994462709873915
75,683,,0.004982539918273687
76,692,,0.004847122821956873
77,701,,0.004807895049452782
78,710,,0.00466926908120513
79,719,,0.004657268989831209
80,728,,0.004521648865193129
81,737,,0.004431781359016895
82,746,,0.004368337336927652
83,755,,0.004271546378731728
84,764,,0.004247071221470833
85,773,,0.0041345288045704365
86,782,,0.00403224490582943
87,791,,0.00398832093924284
88,800,,0.0039497059769928455
89,809,,0.0039034755900502205
90,818,,0.0038427391555160284
91,827,,0.0038033421151340008
92,836,,0.0036573847755789757
93,845,,0.003651445033028722
94,854,,0.0036278520710766315
95,863,,0.0035772721748799086
96,872,,0.0035597102250903845
97,881,,0.0034534563310444355
98,890,,0.0033845771104097366
99,899,,0.0032973256893455982
100,900,1.0,
