epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,8,,,,,0.6388888955116272,1.0065585374832153
0,8,,,0.51408451795578,1.0440120697021484,,
1,17,,,,,0.6944444179534912,0.9588903784751892
1,17,,,0.5845070481300354,0.9962733387947083,,
2,26,,,,,0.8055555820465088,0.9026260375976562
2,26,,,0.6619718074798584,0.945047914981842,,
3,35,,,,,0.8611111044883728,0.8368757963180542
3,35,,,0.7535211443901062,0.8839947581291199,,
4,44,,,,,0.9166666865348816,0.7600343227386475
4,44,,,0.8239436745643616,0.8125264048576355,,
5,53,,,,,0.9166666865348816,0.6739248633384705
5,53,,,0.908450722694397,0.7327246069908142,,
6,62,,,,,0.9722222089767456,0.5843450427055359
6,62,,,0.9366196990013123,0.6447809934616089,,
7,71,,,,,0.9722222089767456,0.49302351474761963
7,71,,,0.9647887349128723,0.5540869235992432,,
8,80,,,,,0.9722222089767456,0.40760108828544617
8,80,,,0.9718309640884399,0.4661679267883301,,
9,89,,,,,0.9722222089767456,0.3329043686389923
9,89,,,0.9788732528686523,0.3853336274623871,,
10,98,,,,,0.9722222089767456,0.2710454761981964
10,98,,,0.9788732528686523,0.3138924241065979,,
11,107,,,,,0.9722222089767456,0.22016502916812897
11,107,,,0.98591548204422,0.2538274824619293,,
12,116,,,,,0.9722222089767456,0.1799880415201187
12,116,,,0.98591548204422,0.20709697902202606,,
13,125,,,,,0.9722222089767456,0.15390925109386444
13,125,,,0.98591548204422,0.17081663012504578,,
14,134,,,,,0.9722222089767456,0.13139793276786804
14,134,,,0.9929577708244324,0.1412881761789322,,
15,143,,,,,0.9722222089767456,0.11400512605905533
15,143,,,0.9929577708244324,0.1197892278432846,,
16,152,,,,,0.9722222089767456,0.09988000243902206
16,152,,,0.9929577708244324,0.10243499279022217,,
17,161,,,,,0.9722222089767456,0.08738742768764496
17,161,,,0.9929577708244324,0.0894455537199974,,
18,170,,,,,0.9722222089767456,0.0790761411190033
18,170,,,0.9929577708244324,0.07838069647550583,,
19,179,,,,,0.9722222089767456,0.07190106809139252
19,179,,,0.9929577708244324,0.06904097646474838,,
20,188,,,,,0.9722222089767456,0.06484971940517426
20,188,,,0.9929577708244324,0.06236978992819786,,
21,197,,,,,0.9722222089767456,0.059816256165504456
21,197,,,0.9929577708244324,0.05517372488975525,,
22,206,,,,,0.9722222089767456,0.05540177971124649
22,206,,,0.9929577708244324,0.049912165850400925,,
23,215,,,,,0.9722222089767456,0.051321160048246384
23,215,,,1.0,0.04525647312402725,,
24,224,,,,,0.9722222089767456,0.04916650429368019
24,224,,,1.0,0.04123760759830475,,
25,233,,,,,0.9722222089767456,0.04691998288035393
25,233,,,1.0,0.037635669112205505,,
26,242,,,,,0.9722222089767456,0.04426051303744316
26,242,,,1.0,0.03450017422437668,,
27,251,,,,,0.9722222089767456,0.04100262001156807
27,251,,,1.0,0.03173859044909477,,
28,260,,,,,0.9722222089767456,0.0381646603345871
28,260,,,1.0,0.029228268191218376,,
29,269,,,,,1.0,0.03615352138876915
29,269,,,1.0,0.02727062813937664,,
30,278,,,,,1.0,0.03510233759880066
30,278,,,1.0,0.025255970656871796,,
31,287,,,,,1.0,0.03322652354836464
31,287,,,1.0,0.02344779297709465,,
32,296,,,,,1.0,0.032966721802949905
32,296,,,1.0,0.021894270554184914,,
33,305,,,,,1.0,0.03119656816124916
33,305,,,1.0,0.0203999076038599,,
34,314,,,,,1.0,0.02911032922565937
34,314,,,1.0,0.01900993287563324,,
35,323,,,,,1.0,0.02861846424639225
35,323,,,1.0,0.017892226576805115,,
36,332,,,,,1.0,0.02675405889749527
36,332,,,1.0,0.01689276471734047,,
37,341,,,,,1.0,0.027614543214440346
37,341,,,1.0,0.01595027931034565,,
38,350,,,,,1.0,0.025832779705524445
38,350,,,1.0,0.014934521168470383,,
39,359,,,,,1.0,0.02467690035700798
39,359,,,1.0,0.013956940732896328,,
40,368,,,,,1.0,0.024427173659205437
40,368,,,1.0,0.013179459609091282,,
41,377,,,,,1.0,0.023399900645017624
41,377,,,1.0,0.012586855329573154,,
42,386,,,,,1.0,0.02352101355791092
42,386,,,1.0,0.011822245083749294,,
43,395,,,,,1.0,0.022657381370663643
43,395,,,1.0,0.01127725001424551,,
44,404,,,,,1.0,0.022386688739061356
44,404,,,1.0,0.010681874118745327,,
45,413,,,,,1.0,0.02139594778418541
45,413,,,1.0,0.010191228240728378,,
46,422,,,,,1.0,0.020894013345241547
46,422,,,1.0,0.009640833362936974,,
47,431,,,,,1.0,0.020907433703541756
47,431,,,1.0,0.009256234392523766,,
48,440,,,,,1.0,0.01984693482518196
48,440,,,1.0,0.008762686513364315,,
49,449,,,,,1.0,0.019768930971622467
49,449,,,1.0,0.008367102593183517,,
50,458,,,,,1.0,0.019221283495426178
50,458,,,1.0,0.007975997403264046,,
51,467,,,,,1.0,0.018385613337159157
51,467,,,1.0,0.007639567833393812,,
52,476,,,,,1.0,0.01872250810265541
52,476,,,1.0,0.00732803950086236,,
53,485,,,,,1.0,0.018819371238350868
53,485,,,1.0,0.007002160884439945,,
54,494,,,,,1.0,0.018304558470845222
54,494,,,1.0,0.006701841950416565,,
55,503,,,,,1.0,0.016876043751835823
55,503,,,1.0,0.006475553382188082,,
56,512,,,,,1.0,0.016715511679649353
56,512,,,1.0,0.0061884387396276,,
57,521,,,,,1.0,0.016080103814601898
57,521,,,1.0,0.0059375339187681675,,
58,530,,,,,1.0,0.01627746969461441
58,530,,,1.0,0.005673815496265888,,
59,539,,,,,1.0,0.01587105542421341
59,539,,,1.0,0.005463734734803438,,
60,548,,,,,1.0,0.015690499916672707
60,548,,,1.0,0.005289061926305294,,
61,557,,,,,1.0,0.015861336141824722
61,557,,,1.0,0.005060459021478891,,
62,566,,,,,1.0,0.015560309402644634
62,566,,,1.0,0.004885909613221884,,
63,575,,,,,1.0,0.015742359682917595
63,575,,,1.0,0.00470635574311018,,
64,584,,,,,1.0,0.014621575362980366
64,584,,,1.0,0.004588580224663019,,
65,593,,,,,1.0,0.014301775023341179
65,593,,,1.0,0.004397833254188299,,
66,602,,,,,1.0,0.014758137986063957
66,602,,,1.0,0.004251051694154739,,
67,611,,,,,1.0,0.014423002488911152
67,611,,,1.0,0.004081845283508301,,
68,620,,,,,1.0,0.014271650463342667
68,620,,,1.0,0.00394544517621398,,
69,629,,,,,1.0,0.013794624246656895
69,629,,,1.0,0.0038380115292966366,,
70,638,,,,,1.0,0.013710851781070232
70,638,,,1.0,0.0036852338816970587,,
71,647,,,,,1.0,0.013499313034117222
71,647,,,1.0,0.003584153950214386,,
72,656,,,,,1.0,0.013457061722874641
72,656,,,1.0,0.0034713642671704292,,
73,665,,,,,1.0,0.01313718780875206
73,665,,,1.0,0.003353504464030266,,
74,674,,,,,1.0,0.01289239153265953
74,674,,,1.0,0.0032623980659991503,,
75,683,,,,,1.0,0.01249170582741499
75,683,,,1.0,0.0031712704803794622,,
76,692,,,,,1.0,0.012281559407711029
76,692,,,1.0,0.0030728504061698914,,
77,701,,,,,1.0,0.012211162596940994
77,701,,,1.0,0.002977160969749093,,
78,710,,,,,1.0,0.011909384280443192
78,710,,,1.0,0.0028975356835871935,,
79,719,,,,,1.0,0.011688129045069218
79,719,,,1.0,0.002814570441842079,,
80,728,,,,,1.0,0.011530880816280842
80,728,,,1.0,0.002733410568907857,,
81,737,,,,,1.0,0.011383322067558765
81,737,,,1.0,0.002658580895513296,,
82,746,,,,,1.0,0.011454511433839798
82,746,,,1.0,0.0025877305306494236,,
83,755,,,,,1.0,0.011024602688848972
83,755,,,1.0,0.0025185332633554935,,
84,764,,,,,1.0,0.010953584685921669
84,764,,,1.0,0.00244550290517509,,
85,773,,,,,1.0,0.01073040533810854
85,773,,,1.0,0.0023855457548052073,,
86,782,,,,,1.0,0.010642866604030132
86,782,,,1.0,0.002320873085409403,,
87,791,,,,,1.0,0.010450858622789383
87,791,,,1.0,0.0022605371195822954,,
88,800,,,,,1.0,0.010420531965792179
88,800,,,1.0,0.002200573915615678,,
89,809,,,,,1.0,0.01038085576146841
89,809,,,1.0,0.0021498051937669516,,
90,818,,,,,1.0,0.01024111919105053
